LocID,Year,Trajectory,e0
664,2058,16,91.4827626205914
664,2063,16,92.0922526352454
664,2068,16,92.631497596348
664,2073,16,93.8848875345746
664,2078,16,93.9268761443592
664,2083,16,94.7563677477421
664,2088,16,96.6543175047031
664,2093,16,97.1362454200126
664,2098,16,97.655044218289
664,2018,17,84.25
664,2023,17,85.6147911174829
664,2028,17,85.9818321908921
664,2033,17,86.8923751923767
664,2038,17,88.3527153830112
664,2043,17,88.8171410955382
664,2048,17,89.0224753620826
664,2053,17,90.6052676269594
664,2058,17,90.6133242171448
664,2063,17,91.8251072399312
664,2068,17,91.8326444774602
664,2073,17,92.25048441006
664,2078,17,92.8823110410104
664,2083,17,92.4309563620905
664,2088,17,93.8437148362678
664,2093,17,94.3701296738688
664,2098,17,94.2172299451052
664,2018,18,84.25
664,2023,18,84.7595110572136
664,2028,18,85.5709584043818
664,2033,18,86.0525360801666
664,2038,18,86.3578579249209
664,2043,18,86.4645203350003
664,2048,18,87.4028500754617
664,2053,18,87.1757984973533
664,2058,18,87.345277942139
664,2063,18,88.3701792449103
664,2068,18,88.5693794487092
664,2073,18,89.20182034158
664,2078,18,90.3716546113404
664,2083,18,91.062999890837
664,2088,18,91.6680584577141
664,2093,18,91.507459514047
664,2098,18,91.4286881857542
664,2018,19,84.25
664,2023,19,84.6792853941894
664,2028,19,84.5738005192277
664,2033,19,85.7649905632607
664,2038,19,86.6494354154069
664,2043,19,87.692716227619
664,2048,19,88.8912324867561
664,2053,19,88.2124034314434
664,2058,19,89.4950386634597
664,2063,19,90.5101436503257
664,2068,19,91.3352679519727
664,2073,19,92.2412355780095
664,2078,19,92.8605825952212
664,2083,19,94.1629663322604
664,2088,19,94.0533985173886
664,2093,19,94.1560586463679
664,2098,19,93.9198755709179
664,2018,20,84.25
664,2023,20,85.2047635640651
664,2028,20,85.4268477225592
664,2033,20,86.9645706995594
664,2038,20,87.5293117019857
664,2043,20,88.6945530519359
664,2048,20,90.1981366187628
664,2053,20,90.6346630069359
664,2058,20,92.2355763320144
664,2063,20,92.3613168806947
664,2068,20,93.1014586769377
664,2073,20,93.5577289904727
664,2078,20,94.6048712677416
664,2083,20,95.8269421238287
664,2088,20,95.8374719394802
664,2093,20,96.4381913467707
664,2098,20,96.3129389307771
664,2018,21,84.25
664,2023,21,85.8083437349747
664,2028,21,86.8158513801821
664,2033,21,86.2011142460318
664,2038,21,86.9863175151912
664,2043,21,88.4901885251758
664,2048,21,89.1610616386844
664,2053,21,89.2818026587628
664,2058,21,89.3507341525121
664,2063,21,89.7341254792538
664,2068,21,90.6000545142459
664,2073,21,91.3955923284983
664,2078,21,90.9675798103613
664,2083,21,91.5996841437776
664,2088,21,91.6761923220563
664,2093,21,92.1542350243401
664,2098,21,92.0442118167739
664,2018,22,84.25
664,2023,22,83.4604444396286
664,2028,22,83.4720070029387
664,2033,22,83.3901492706496
664,2038,22,83.5092240685391
664,2043,22,83.7811582372598
664,2048,22,84.1618229641555
664,2053,22,84.7320129374482
664,2058,22,84.8318872891434
664,2063,22,85.0669951138425
664,2068,22,86.4335940096672
664,2073,22,87.4988578907704
664,2078,22,87.1875731500707
664,2083,22,88.1916959108945
664,2088,22,88.5159193688575
664,2093,22,89.3705174078229
664,2098,22,88.958130081583
664,2018,23,84.25
664,2023,23,84.9993278660712
664,2028,23,84.6984608963083
664,2033,23,85.0465660883726
664,2038,23,85.3553859340524
664,2043,23,85.8816852197614
664,2048,23,86.3935474094421
664,2053,23,86.803562548368
664,2058,23,87.5637360250618
664,2063,23,88.5418314833946
664,2068,23,89.2664049606219
664,2073,23,89.615734613228
664,2078,23,89.9068495808458
664,2083,23,91.0935667400337
664,2088,23,90.4273719849227
664,2093,23,90.9207813766043
664,2098,23,91.8215221029765
664,2018,24,84.25
664,2023,24,85.4852391298223
664,2028,24,86.6490176999572
664,2033,24,86.5631369663668
664,2038,24,87.7399559061446
664,2043,24,88.3167219829063
664,2048,24,89.2922083263964
664,2053,24,90.7260993960379
664,2058,24,91.3562993423105
664,2063,24,92.1188407219232
664,2068,24,92.4616546135278
664,2073,24,92.8472039364057
664,2078,24,92.8687423957028
664,2083,24,93.7623329143348
664,2088,24,94.0017026035296
664,2093,24,95.0087269906884
664,2098,24,95.6236448874785
664,2018,25,84.25
664,2023,25,83.6864206340295
664,2028,25,84.6955851224263
664,2033,25,85.6028747652305
664,2038,25,85.700409616555
664,2043,25,86.0080261808393
664,2048,25,87.8164372747309
664,2053,25,88.0740994701208
664,2058,25,89.149846550651
664,2063,25,90.9429934880281
664,2068,25,90.4964886163881
664,2073,25,91.5863053414195
664,2078,25,91.4764354133168
664,2083,25,93.0358506279444
664,2088,25,93.6061062493573
664,2093,25,93.5621646454363
664,2098,25,94.3227125113254
664,2018,26,84.25
664,2023,26,84.3232943942691
664,2028,26,84.5531155385944
664,2033,26,85.4434621564163
664,2038,26,86.3251459741212
664,2043,26,87.7517646318445
664,2048,26,88.3859267542442
664,2053,26,88.6696182941897
664,2058,26,88.60654613798
664,2063,26,89.5003142635489
664,2068,26,89.8679810808699
664,2073,26,90.7649869917349
664,2078,26,90.6746816291493
664,2083,26,91.5179963202444
664,2088,26,91.8560045180447
664,2093,26,92.7834347513173
664,2098,26,92.5034106748854
664,2018,27,84.25
664,2023,27,84.6745721724357
664,2028,27,85.0784951547995
664,2033,27,85.7942843154038
664,2038,27,86.4765810117847
664,2043,27,86.8972830386732
664,2048,27,87.996703656474
664,2053,27,87.8907480018265
664,2058,27,88.3083041435884
664,2063,27,88.8447672643073
664,2068,27,89.0394339786179
664,2073,27,89.8792163794748
664,2078,27,89.3446093678471
664,2083,27,89.554131341758
664,2088,27,89.6037880138276
664,2093,27,89.4918388617777
664,2098,27,90.2433626501957
664,2018,28,84.25
664,2023,28,85.6509230013431
664,2028,28,85.421123761792
664,2033,28,85.3948347131262
664,2038,28,85.7149281160525
664,2043,28,85.6311559850333
664,2048,28,85.5499912801806
664,2053,28,86.3841045147678
664,2058,28,87.0859527187492
664,2063,28,87.0806444407191
664,2068,28,88.2001698471631
664,2073,28,88.9879413512375
664,2078,28,89.16247159694
664,2083,28,89.6971864159907
664,2088,28,90.2320892142224
664,2093,28,90.4500687253534
664,2098,28,90.5546118427718
664,2018,29,84.25
664,2023,29,85.5908834430038
664,2028,29,87.0381634852775
664,2033,29,87.28679033568
664,2038,29,87.7527596048417
664,2043,29,88.6945292534745
664,2048,29,89.7442288821708
664,2053,29,90.0193426667916
664,2058,29,89.9685338877932
664,2063,29,90.5622677496236
664,2068,29,91.7183705812011
664,2073,29,91.8636374489542
664,2078,29,92.8499749729423
664,2083,29,93.7609456737153
664,2088,29,94.510098338619
664,2093,29,95.3857547537883
664,2098,29,95.7558135238429
664,2018,30,84.25
664,2023,30,83.809894338735
664,2028,30,84.7575999631851
664,2033,30,85.8168016370065
664,2038,30,86.174816105556
664,2043,30,86.6200271683917
664,2048,30,87.4711797377917
664,2053,30,88.2723132553025
