LSOA Code,WIMD 2019 
W01000666,1173
W01000667,1043
W01000670,318
W01000671,990
W01000672,641
W01000673,881
W01000674,1112
W01000675,1278
W01000676,1446
W01000677,741
W01000678,763
W01000679,1067
W01000680,1303
W01000681,491
W01000682,1215
W01000683,648
W01000684,1146
W01000685,673
W01000686,1108
W01000687,883
W01000688,546
W01000689,1096
W01000690,1283
W01000691,1396
W01000692,1188
W01000693,939
W01000694,1437
W01000695,503
W01000696,906
W01000697,890
W01000698,972
W01000699,1385
W01000700,1237
W01000701,1024
W01000702,854
W01000703,499
W01000704,1309
W01000705,395
W01000706,693
W01000707,222
W01000708,172
W01000709,976
W01000710,1586
W01000711,404
W01000712,1299
W01000713,1061
W01000714,494
W01000715,1544
W01000716,1209
W01000717,824
W01000718,683
W01000719,835
W01000720,1200
W01000721,1245
W01000722,1445
W01000723,787
W01000724,818
W01000725,955
W01000726,1690
W01000727,1418
W01000728,849
W01000729,342
W01000730,543
W01000731,1296
W01000732,396
W01000733,17
W01000734,144
W01000735,1268
W01000736,1895
W01000737,1825
W01000738,81
W01000739,460
W01000740,1158
W01000741,355
W01000742,23
W01000744,290
W01000745,321
W01000746,448
W01000747,643
W01000749,660
W01000750,496
W01000751,1714
W01000752,297
W01000753,697
W01000754,766
W01000755,861
W01000756,229
W01000757,775
W01000758,1163
W01000759,1539
W01000760,624
W01000761,724
W01000762,207
W01000763,649
W01000764,732
W01000765,719
W01000766,1057
W01000767,417
W01000768,1501
W01000769,1797
W01000770,1808
W01000771,1516
W01000772,1718
W01000773,762
W01000774,1030
W01000775,1513
W01000776,1611
W01000777,1722
W01000778,1525
W01000779,1147
W01000781,1897
W01000782,1757
W01000784,1469
W01000785,1851
W01000786,1636
W01000787,490
W01000788,230
W01000789,276
W01000790,363
W01000791,1749
W01000792,1806
W01000793,1765
W01000794,1118
W01000795,1547
W01000796,1533
W01000797,1431
W01000798,1091
W01000799,386
W01000800,1664
W01000801,179
W01000802,966
W01000803,1029
W01000804,1858
W01000805,1906
W01000806,1088
W01000807,1618
W01000808,1271
W01000809,686
W01000810,95
W01000811,309
W01000812,154
W01000813,1250
W01000814,205
W01000815,1570
W01000816,1677
W01000817,37
W01000818,467
W01000819,1589
W01000820,1021
W01000821,859
W01000822,1230
W01000823,1905
W01000824,1801
W01000825,1719
W01000826,1760
W01000827,1826
W01000828,1667
W01000829,1255
W01000830,31
W01000831,147
W01000832,22
W01000833,48
W01000834,201
W01000835,157
W01000836,279
W01000837,1845
W01000838,419
W01000839,1781
W01000840,1898
W01000841,842
W01000842,1388
W01000843,1405
W01000844,305
W01000845,1653
W01000846,820
W01000847,964
W01000848,374
W01000849,269
W01000850,484
W01000851,811
W01000852,749
W01000853,1751
W01000854,1838
W01000855,1788
W01000856,382
W01000857,905
W01000858,1784
W01000859,1729
W01000860,1881
W01000861,1754
W01000862,18
W01000863,16
W01000864,32
W01000865,362
W01000866,41
W01000867,58
W01000868,1783
W01000869,868
W01000870,1541
W01000871,774
W01000872,1790
W01000873,1298
W01000874,1593
W01000875,1072
W01000876,1346
W01000877,1530
W01000878,1330
W01000879,1893
W01000880,1750
W01000881,461
W01000882,591
W01000883,1407
W01000884,122
W01000885,129
W01000886,44
W01000887,735
W01000888,1227
W01000889,1133
W01000890,1802
W01000891,783
W01000892,1456
W01000893,559
W01000894,708
W01000895,233
W01000896,25
W01000897,263
W01000898,909
W01000899,1568
W01000900,244
W01000901,628
W01000902,1350
W01000903,1766
W01000904,1853
W01000905,1336
W01000906,1475
W01000907,446
W01000908,1567
W01000909,809
W01000910,1549
W01000911,1630
W01000912,621
W01000913,692
W01000914,212
W01000915,930
W01000916,1099
W01000917,1305
W01000918,1206
W01000919,807
W01000920,398
W01000921,38
W01000922,422
W01000923,1182
W01000924,338
W01000925,331
W01000926,978
W01000927,773
W01000928,662
W01000929,411
W01000930,210
W01000931,617
W01000932,500
W01000933,1487
W01000934,82
W01000935,109
W01000936,221
W01000937,278
W01000938,1416
W01000939,49
W01000940,261
W01000941,328
W01000942,199
W01000943,1711
W01000944,508
W01000945,593
W01000946,744
W01000947,589
W01000948,761
W01000949,979
W01000950,609
W01000951,281
W01000952,607
W01000953,571
W01000954,1023
W01000955,1333
W01000956,1646
W01000957,132
W01000958,76
W01000959,1092
W01000960,348
W01000961,307
W01000962,55
W01000963,124
W01000964,115
W01000965,522
W01000966,523
W01000967,182
W01000968,751
W01000969,1672
W01000970,722
W01000971,872
W01000973,372
W01000974,1174
W01000975,143
W01000976,346
W01000977,392
W01000978,527
W01000979,1332
W01000980,934
W01000981,60
W01000982,1302
W01000983,1639
W01000984,1507
W01000985,1785
W01000986,1135
W01000987,581
W01000989,1683
W01000990,408
W01000991,5
W01000992,46
W01000993,194
W01000994,232
W01000995,632
W01000996,816
W01000997,1216
W01000998,1412
W01000999,518
W01001000,1335
W01001001,723
W01001002,272
W01001003,1459
W01001004,555
W01001005,1504
W01001006,1709
W01001007,822
W01001008,1728
W01001009,606
W01001010,489
W01001011,1428
W01001012,1367
W01001013,721
W01001014,380
W01001015,322
W01001016,988
W01001017,1150
W01001018,334
W01001019,287
W01001020,427
W01001021,397
W01001022,118
W01001023,299
W01001024,336
W01001025,655
W01001026,517
W01001027,1354
W01001028,1226
W01001029,1603
W01001030,1433
W01001031,1767
W01001032,1669
W01001033,912
W01001034,401
W01001035,326
W01001036,1734
W01001037,1635
W01001038,924
W01001039,1439
W01001040,1312
W01001041,1721
W01001042,526
W01001043,406
W01001044,671
W01001045,510
W01001046,524
W01001047,1364
W01001048,1529
W01001049,267
W01001050,479
W01001051,771
W01001052,466
W01001053,1706
W01001054,1779
W01001055,188
W01001056,949
W01001057,431
W01001058,1381
W01001059,1642
W01001060,1844
W01001061,801
W01001062,1419
W01001063,690
W01001064,186
W01001065,814
W01001066,733
W01001067,195
W01001068,925
W01001069,265
W01001070,266
W01001071,548
W01001072,1770
W01001073,216
W01001075,1759
W01001076,1189
W01001077,1202
W01001078,1671
W01001079,388
W01001080,442
W01001081,142
W01001082,1768
W01001083,1726
W01001084,1786
W01001085,1708
W01001086,1832
W01001087,1735
W01001088,874
W01001089,1724
W01001090,1695
W01001091,1740
W01001092,878
W01001093,476
W01001094,291
W01001095,105
W01001096,785
W01001097,253
W01001098,1799
W01001099,699
W01001100,1795
W01001101,803
W01001102,1151
W01001103,1863
W01001104,1543
W01001105,1575
W01001106,1822
W01001107,1655
W01001108,1429
W01001109,1363
W01001110,1686
W01001111,815
W01001112,1873
W01001113,1600
W01001114,1899
W01001115,1715
W01001116,1857
W01001117,1553
W01001118,1493
W01001119,1503
W01001120,1787
W01001121,863
W01001122,1569
W01001123,1684
W01001124,1420
W01001125,1643
W01001126,1571
W01001127,1650
W01001128,1705
W01001129,993
